instancia, num, valor_otimo, seed_42, seed_101, seed_202, seed_303, seed_404, melhor_valor, erro
heskia   ,   1,        94.0,   141.0,    106.0,    128.0,    132.0,    156.0,        106.0, 12.0
heskia   ,   2,        95.0,   124.0,    124.0,    115.0,    114.0,    107.0,        107.0, 12.0
heskia   ,   3,       102.0,   113.0,    117.0,    129.0,    124.0,    139.0,        113.0, 11.0
heskia   ,   4,       103.0,   144.0,    158.0,    158.0,    110.0,    158.0,        110.0,  7.0
heskia   ,   5,        92.0,    92.0,    110.0,    103.0,    157.0,    145.0,         92.0,  0.0
heskia   ,   6,        98.0,   103.0,    105.0,    102.0,    137.0,    127.0,        102.0,  4.0
heskia   ,   7,       116.0,   120.0,    155.0,    158.0,    228.0,    150.0,        120.0,  4.0
heskia   ,   8,        86.0,    86.0,    111.0,    111.0,    117.0,    100.0,         86.0,  0.0
heskia   ,   9,        95.0,   107.0,    102.0,    103.0,    119.0,    124.0,        102.0,  7.0
heskia   ,  10,       142.0,   172.0,    383.0,    160.0,    158.0,    142.0,        142.0,  0.0
heskia   ,  11,       169.0,   413.0,    219.0,    219.0,    346.0,    224.0,        219.0, 50.0
heskia   ,  12,       107.0,   118.0,    204.0,    132.0,    179.0,    145.0,        118.0, 11.0
heskia   ,  13,       108.0,   125.0,    143.0,    147.0,    135.0,    126.0,        125.0, 17.0
heskia   ,  14,        96.0,   120.0,    147.0,    285.0,    117.0,    107.0,        107.0, 11.0
heskia   ,  15,       130.0,   181.0,    423.0,    181.0,    162.0,    162.0,        162.0, 32.0
heskia   ,  16,       117.0,   211.0,    507.0,    225.0,    163.0,    133.0,        133.0, 16.0
heskia   ,  17,       146.0,   148.0,    324.0,    186.0,    186.0,    165.0,        148.0,  2.0
heskia   ,  18,       132.0,   176.0,    142.0,    195.0,    151.0,    141.0,        141.0,  9.0
heskia   ,  19,       101.0,   110.0,    119.0,    107.0,    120.0,    113.0,        107.0,  6.0
heskia   ,  20,       120.0,   147.0,    450.0,    168.0,    212.0,    169.0,        147.0, 27.0
heskia   ,  21,       200.0,   202.0,    302.0,    302.0,    246.0,    227.0,        202.0,  2.0
heskia   ,  22,       147.0,   229.0,    229.0,    216.0,    147.0,    178.0,        147.0,  0.0
heskia   ,  23,       186.0,   238.0,    192.0,    223.0,    250.0,    276.0,        192.0,  6.0
heskia   ,  24,       181.0,   183.0,    332.0,    219.0,    216.0,    193.0,        183.0,  2.0
heskia   ,  25,       142.0,   152.0,    179.0,    186.0,    150.0,    175.0,        150.0,  8.0
heskia   ,  26,       194.0,   327.0,    194.0,    327.0,    196.0,    194.0,        194.0,  0.0
heskia   ,  27,       149.0,   197.0,    330.0,    177.0,    264.0,    174.0,        174.0, 25.0
heskia   ,  28,       191.0,   238.0,    211.0,    250.0,    198.0,    221.0,        198.0,  7.0
heskia   ,  29,       170.0,   204.0,    184.0,    182.0,    182.0,    226.0,        182.0, 12.0
heskia   ,  30,       165.0,   270.0,    186.0,    202.0,    200.0,    267.0,        186.0, 21.0
heskia   ,  31,       204.0,   226.0,    206.0,    206.0,    231.0,    248.0,        206.0,  2.0
heskia   ,  32,       147.0,   165.0,    189.0,    168.0,    165.0,    176.0,        165.0, 18.0
heskia   ,  33,       211.0,   263.0,    226.0,    258.0,    230.0,    247.0,        226.0, 15.0
heskia   ,  34,       127.0,   306.0,    140.0,    138.0,    171.0,    207.0,        138.0, 11.0
heskia   ,  35,       181.0,   352.0,    229.0,    201.0,    263.0,    245.0,        201.0, 20.0
heskia   ,  36,       179.0,   203.0,    194.0,    190.0,    179.0,    179.0,        179.0,  0.0
heskia   ,  37,       191.0,   255.0,    216.0,    321.0,    242.0,    351.0,        216.0, 25.0
heskia   ,  38,       152.0,   220.0,    162.0,    249.0,    202.0,    249.0,        162.0, 10.0
heskia   ,  39,       167.0,   215.0,    198.0,    175.0,    175.0,    193.0,        175.0,  8.0
heskia   ,  40,       153.0,   198.0,    282.0,    189.0,    174.0,    197.0,        174.0, 21.0
heskia   ,  41,        35.0,    91.0,     52.0,     91.0,     47.0,     62.0,         47.0, 12.0
heskia   ,  42,        40.0,    81.0,     99.0,     62.0,    117.0,    132.0,         62.0, 22.0
heskia   ,  43,        35.0,    64.0,     73.0,     64.0,     64.0,     70.0,         64.0, 29.0
heskia   ,  44,        30.0,    75.0,     43.0,     55.0,     53.0,     53.0,         43.0, 13.0
heskia   ,  45,        40.0,    91.0,     53.0,     89.0,     71.0,     79.0,         53.0, 13.0
heskia   ,  46,        29.0,    50.0,     59.0,     80.0,     59.0,    164.0,         50.0, 21.0
heskia   ,  47,        25.0,   116.0,     72.0,     68.0,     47.0,     75.0,         47.0, 22.0
heskia   ,  48,        43.0,    91.0,    127.0,     66.0,    149.0,     72.0,         66.0, 23.0
heskia   ,  49,        38.0,    66.0,     72.0,     43.0,     69.0,     84.0,         43.0,  5.0
heskia   ,  50,        34.0,    49.0,     49.0,     48.0,     96.0,    151.0,         48.0, 14.0
heskia   ,  51,        51.0,    65.0,     82.0,     81.0,    110.0,     71.0,         65.0, 14.0
heskia   ,  52,        50.0,   150.0,     69.0,     92.0,     71.0,    123.0,         69.0, 19.0
heskia   ,  53,        52.0,    93.0,    133.0,    125.0,     68.0,     63.0,         63.0, 11.0
heskia   ,  54,        33.0,    50.0,     79.0,     55.0,     74.0,     60.0,         50.0, 17.0
heskia   ,  55,        38.0,    46.0,     96.0,     70.0,     66.0,     66.0,         46.0,  8.0
heskia   ,  56,        34.0,    55.0,     55.0,     72.0,     34.0,     43.0,         34.0,  0.0
heskia   ,  57,        42.0,    64.0,     66.0,     52.0,     83.0,     64.0,         52.0, 10.0
heskia   ,  58,        39.0,   135.0,     74.0,     54.0,     74.0,    165.0,         54.0, 15.0
heskia   ,  59,        59.0,   102.0,    113.0,     65.0,     91.0,    119.0,         65.0,  6.0
heskia   ,  60,        28.0,    45.0,    102.0,     33.0,    104.0,     32.0,         32.0,  4.0
heskia   ,  61,        66.0,   129.0,    141.0,    236.0,    150.0,    236.0,        129.0, 63.0
heskia   ,  62,        56.0,   106.0,     91.0,    103.0,    101.0,    101.0,         91.0, 35.0
heskia   ,  63,        69.0,   187.0,     82.0,     79.0,    103.0,    129.0,         79.0, 10.0
heskia   ,  64,       126.0,   126.0,    126.0,    208.0,    126.0,    149.0,        126.0,  0.0
heskia   ,  65,       107.0,   124.0,    127.0,    107.0,    133.0,    107.0,        107.0,  0.0
heskia   ,  66,        39.0,   112.0,     79.0,     48.0,    184.0,    100.0,         48.0,  9.0
heskia   ,  67,        87.0,   241.0,    104.0,    107.0,     89.0,    136.0,         89.0,  2.0
heskia   ,  68,        62.0,   130.0,    182.0,    127.0,    140.0,    120.0,        120.0, 58.0
heskia   ,  69,        61.0,    77.0,     66.0,    113.0,    110.0,    119.0,         66.0,  5.0
heskia   ,  70,        79.0,   158.0,    106.0,    129.0,    137.0,    168.0,        106.0, 27.0
heskia   ,  71,        91.0,   197.0,    122.0,    115.0,    162.0,    116.0,        115.0, 24.0
heskia   ,  72,        65.0,   111.0,    111.0,     97.0,    146.0,     92.0,         92.0, 27.0
heskia   ,  73,        73.0,   109.0,     95.0,     93.0,    105.0,    108.0,         93.0, 20.0
heskia   ,  74,        57.0,   109.0,     76.0,    123.0,     94.0,     76.0,         76.0, 19.0
heskia   ,  75,        65.0,   226.0,    147.0,    306.0,    112.0,    132.0,        112.0, 47.0
heskia   ,  76,        70.0,   175.0,    192.0,     90.0,    132.0,    153.0,         90.0, 20.0
heskia   ,  77,        71.0,   163.0,    132.0,    273.0,     98.0,    237.0,         98.0, 27.0
heskia   ,  78,        58.0,    85.0,     89.0,     93.0,    106.0,     93.0,         85.0, 27.0
heskia   ,  79,        46.0,   107.0,     64.0,    122.0,     72.0,     99.0,         64.0, 18.0
heskia   ,  80,        76.0,    90.0,    143.0,    141.0,    141.0,     93.0,         90.0, 14.0
