instancia,num,valor_otimo,seed_42,seed_101,seed_202,seed_303,seed_404,melhor_valor,erro
heskia,10,142.0,172.0,383.0,160.0,158.0,142.0,142.0,0.0
roszieg,10,19.0,26.0,44.0,28.0,26.0,25.0,25.0,6.0
tonge,10,83.0,192.0,252.0,627.0,504.0,606.0,192.0,109.0
wee-mag,10,26.0,154.0,160.0,137.0,147.0,194.0,137.0,111.0
heskia,11,169.0,413.0,219.0,219.0,346.0,224.0,219.0,50.0
roszieg,11,30.0,48.0,90.0,90.0,48.0,43.0,43.0,13.0
tonge,11,110.0,190.0,292.0,1269.0,184.0,336.0,184.0,74.0
wee-mag,11,29.0,83.0,114.0,121.0,167.0,84.0,83.0,54.0
heskia,12,107.0,118.0,204.0,132.0,179.0,145.0,118.0,11.0
roszieg,12,27.0,62.0,87.0,87.0,48.0,64.0,48.0,21.0
tonge,12,108.0,285.0,293.0,429.0,207.0,286.0,207.0,99.0
wee-mag,12,30.0,132.0,109.0,143.0,200.0,126.0,109.0,79.0
heskia,13,108.0,125.0,143.0,147.0,135.0,126.0,125.0,17.0
roszieg,13,76.0,118.0,83.0,83.0,118.0,118.0,83.0,7.0
tonge,13,103.0,196.0,245.0,1778.0,300.0,207.0,196.0,93.0
wee-mag,13,31.0,87.0,106.0,124.0,100.0,88.0,87.0,56.0
heskia,14,96.0,120.0,147.0,285.0,117.0,107.0,107.0,11.0
roszieg,14,25.0,45.0,84.0,65.0,66.0,25.0,25.0,0.0
tonge,14,93.0,168.0,560.0,1587.0,222.0,455.0,168.0,75.0
wee-mag,14,30.0,139.0,155.0,146.0,231.0,110.0,110.0,80.0
heskia,15,130.0,181.0,423.0,181.0,162.0,162.0,162.0,32.0
roszieg,15,26.0,26.0,41.0,41.0,26.0,41.0,26.0,0.0
tonge,15,89.0,258.0,307.0,1297.0,248.0,356.0,248.0,159.0
wee-mag,15,32.0,150.0,125.0,276.0,117.0,77.0,77.0,45.0
heskia,16,117.0,211.0,507.0,225.0,163.0,133.0,133.0,16.0
roszieg,16,22.0,92.0,34.0,34.0,92.0,92.0,34.0,12.0
tonge,16,100.0,259.0,272.0,973.0,197.0,145.0,145.0,45.0
wee-mag,16,29.0,91.0,129.0,98.0,78.0,80.0,78.0,49.0
heskia,17,146.0,148.0,324.0,186.0,186.0,165.0,148.0,2.0
roszieg,17,22.0,79.0,48.0,48.0,92.0,79.0,48.0,26.0
tonge,17,120.0,1015.0,1652.0,1674.0,304.0,783.0,304.0,184.0
wee-mag,17,31.0,154.0,147.0,159.0,104.0,143.0,104.0,73.0
heskia,18,132.0,176.0,142.0,195.0,151.0,141.0,141.0,9.0
roszieg,18,20.0,26.0,41.0,75.0,26.0,38.0,26.0,6.0
tonge,18,112.0,315.0,317.0,1356.0,354.0,225.0,225.0,113.0
wee-mag,18,34.0,129.0,158.0,156.0,98.0,114.0,98.0,64.0
