Instance; Replication; Seed; SI    ; SF    ; Time_s
10_hes  ;           2;  101; 1024.0; 383.0 ; 0.2641
10_ros  ;           2;  101; 125.0 ; 44.0  ; 0.2543
10_ros  ;           4;  303; 62.0  ; 26.0  ; 0.2791
10_ros  ;           1;   42; 65.0  ; 26.0  ; 0.3698
10_hes  ;           1;   42; 233.0 ; 172.0 ; 0.4437
10_ros  ;           3;  202; 125.0 ; 28.0  ; 0.1930
10_ros  ;           5;  404; 65.0  ; 25.0  ; 0.3497
11_hes  ;           1;   42; 413.0 ; 413.0 ; 0.2662
10_hes  ;           4;  303; 259.0 ; 158.0 ; 0.5280
10_hes  ;           3;  202; 1024.0; 160.0 ; 0.8091
10_hes  ;           5;  404; 233.0 ; 142.0 ; 0.5673
11_hes  ;           2;  101; 1024.0; 219.0 ; 0.3061
11_hes  ;           3;  202; 1024.0; 219.0 ; 0.4846
11_ros  ;           5;  404; 46.0  ; 43.0  ; 0.1511
11_ros  ;           2;  101; 125.0 ; 90.0  ; 0.1458
11_hes  ;           4;  303; 346.0 ; 346.0 ; 0.4220
11_ros  ;           3;  202; 125.0 ; 90.0  ; 0.4147
11_ros  ;           1;   42; 48.0  ; 48.0  ; 0.1440
11_hes  ;           5;  404; 302.0 ; 224.0 ; 0.5893
11_ros  ;           4;  303; 48.0  ; 48.0  ; 0.1582
10_ton  ;           4;  303; 1101.0; 504.0 ; 2.4910
10_ton  ;           2;  101; 474.0 ; 252.0 ; 3.2133
12_hes  ;           1;   42; 208.0 ; 118.0 ; 1.6830
10_ton  ;           1;   42; 489.0 ; 192.0 ; 3.7269
11_ton  ;           2;  101; 1481.0; 292.0 ; 3.1680
11_ton  ;           5;  404; 1333.0; 336.0 ; 2.8177
12_hes  ;           3;  202; 1024.0; 132.0 ; 1.2067
12_hes  ;           2;  101; 1024.0; 204.0 ; 1.0697
12_ros  ;           2;  101; 125.0 ; 87.0  ; 0.1223
12_hes  ;           4;  303; 497.0 ; 179.0 ; 0.8649
11_ton  ;           1;   42; 464.0 ; 190.0 ; 3.7677
12_ros  ;           1;   42; 78.0  ; 62.0  ; 0.2792
10_ton  ;           5;  404; 888.0 ; 606.0 ; 4.9961
